key-type,key,avator,Chinese,Japanese,English
,ACT2NAME,,木桶烧饼店,樽制焼餅（シャオピン）の店,Cask Biscuit Shop
,SPOT2,,地点2 木桶烧饼店,場所２ 樽制焼餅（シャオピン）の店  ,Spot 2 Cask Biscuit Shop
,SPOTTEXT2,,上海西边一条老街附近的烧饼店,上海西部の老街近くにある焼餅屋さん,A bakery near an old street in the west of Shanghai
,TEXT2,,这家店没有名字，但烧饼很香，甜的咸的都有。,お店の名前はありませんが、焼餅は甘いものもしょっぱいものも、おいしそうな香りがします。,"This store doesn't have a name, but the Biscuit smells good, sweet and salty are available."
,,,,,
,Guide_level2,,边走边闻,歩きながら、匂いをたどる,Smells Along the Way
,Guide_level2_1,,有点饿了，烧饼和鸡粥，吃哪个好？,"ちょっとお腹が空いてきた。
焼き餅と鶏粥、どっちにしよう？",I’m getting a bit hungry. Sesame flatbread or chicken congee—which one should I get?
,Guide_level2_2,,"老板娘在杆面饼。（看手机）有点评说
孩子放学了会在这买，看来应该不错。","女将さんが生地を伸ばしている。
（スマホを見る）放課後に子どもたちがここで買うって口コミがある。きっと美味しいんだろうな。","The owner is rolling out the dough.
(Checking my phone) Someone left a review saying kids stop by here after school.
Sounds like it should be good."
,Guide_level2_3,,能让大家吃好吃的东西，好像也很开心啊。,"みんなに美味しいものを食べてもらえるのって、
やっぱり嬉しいことなんだな。",Being able to make good food for people seems to make her happy too.
,,,,,
,Goal201Description,,*刚刚那张烧饼没了，大妈和男生都愣住了。,"＊さっきまであった焼餅がなくなって、
おばさんも男の子も一瞬固まった。","*The flatbread from just now is gone.
Both the auntie and the boy freeze for a moment."
,Goal201Summary,,遏制住了怒火,怒りをぐっと抑えた,Holding back anger
,Goal202Description,,*他一看到数学题，手就忍不住动了。,＊数学の問題を見ると、手が思わず動いてしまう。,"*As soon as he sees a math problem, his hand starts moving on its own."
,Goal202Summary,,解题的乐趣,謎を解く楽しさ,The joy of solving
,Goal203Description,,*紫苏的味道一下子冒出来了。,＊紫蘇の香りが、ふっと立ちのぼった。,*The scent of perilla suddenly rises.
,Goal203Summary,,新味道的惊喜,新しい味との出会い,The surprise of a new flavor
,Goal204Description,,*这个番茄，看起来有点不对劲。,＊このトマト、ちょっと様子が変だ。,*This tomato looks a bit off.
,Goal204Summary,,小小的心灵冲击,小さな心の衝撃,A small emotional jolt
,sgoal1-memo,,*他一看到数学题，手就忍不住动了。,＊数学の問題を見ると、手が思わず動いてしまう。,"*As soon as he sees a math problem, his hand starts moving on its own."
,sgoal2-memo,,*紫苏的味道一下子冒出来了。,＊紫蘇の香りが、ふっと立ちのぼった。,*The scent of perilla suddenly rises.
,sgoal3-memo,,*这个番茄，看起来有点不对劲。,＊このトマト、ちょっと様子が変だ。,*This tomato looks a bit off.
,,,,,
,TEXT1BIG,,木桶烧饼的做法是把饼贴在桶壁上烤的饼。嗯~好香。,樽制焼餅（シャオピン）は、樽の壁に餅を貼り付けて焼き上げます。うーん〜いい匂い。,The Cask Biscuit is to paste the Biscuit on the wall of the Cask and bake them. Hmm~ It smells so good.
,GOAL1,,第二张烧饼,2つ目の餅,The second pie
,GOAL1NOTE,,他的拍摄的照片很怪，但是 很好玩，看得让人停不下来。 “嗯哼，被囚禁的消防栓。,彼の写真は奇妙ですが、見るのは楽しいです。 「うーん、閉じ込められた消火栓。,"His photos are weird, but fun to watch. ""Hmm, imprisoned fire hydrant."
,SGOAL1,,数学题的答案,数学問題の答え,The answer of a math question
,SGOAL2,,加紫苏的盖饭,大葉丼,Rice with perilla
,SGOAL3,,鸭子形状的番茄,アヒル形のトマト,Duck shape tomato
,GOAL1DIALOG-default1,me,“木桶烧饼是哪里的特色来着？有五种口味，价格也不贵诶。”,「木桶焼き餅って、どこの名物だっけ。味は5種類か。値段もそんなに高くないな。」,"""Where’s that wood-fired bun from again?Five flavors.And it’s not expensive either."""
,GOAL1DIALOG1,,“吃葱油饼好了。”,「ネギ味の焼餅にしようかな。」,"""Let me see, scallion pancakes."""
,GOAL1DIALOG2,,“啊，烧饼居然飞到车上了。”,「ああ、焼餅が車に飛んでいきました。」,"""Ah, the cake flew to the car."""
,GOAL1DIALOG3,,“...谢谢阿姨。”,「...おばさん、ありがとう。」,"""...Thanks.Ms."""
,SGOAL1DIALOG1,,饭快没了。,ご飯はもうすぐなくなる。,The rice is almost gone.
,SGOAL1DIALOG2,,“这不是初中时做过的题吗。”,「これって中学校でやった問題じゃない？」,"""Isn't this a question that was done in junior high school?"""
,SGOAL1DIALOG3,,“做数学题还是很有趣。”,「数学の問題を解くのは今でもとても楽しいだ。」,"""Doing math problems is still so fun."""
,SGOAL2DIALOG1,,“昨儿个的剩菜炒个饭哩，加点啥味儿中？”,"「昨日の残りでチャーハン作ろうかな。
何入れよっか。」","""Fried rice with yesterday’s leftovers.What should I put in?"""
,SGOAL2DIALOG2,,“搁点紫苏。上海人不咋买，我试试中不中。”,「紫蘇、入れてみよ。あんまり売れんけど、試しにね。」,"""Maybe some perilla.Folks around here don’t buy it much. I’ll try it."""
,SGOAL2DIALOG3,,“搁紫苏，好吃的咧！”,「紫蘇入れたら、やっぱうまいわ。」,"""See? Perilla makes it really good."""
,SGOAL3DIALOG1,,“大番茄——圆又圆哩！”,「おっきいトマト、まんまる！」,“Big tomato. So round!”
,SGOAL3DIALOG2,,“这个番茄，是心形儿哩！”,「このトマト、ハートの形だ！」,“This one’s heart-shaped!”
,SGOAL3DIALOG3,,“哎！这个像鸭子哩！”,「こっちは、アヒルみたい！」,“And this one looks like a duck!”
,,,,,
,Level2Congrats,,虽然忙忙碌碌的，总感觉大家好像有点不一样了。,"忙しそうではあるけど、
なんだかみんな、少し変わった気がする。","Even though everyone’s busy,
it somehow feels like people are a little different now."